trial,direction,speed,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
1,135,1.8997110945711444,12.001,4.0005,4.0005,0,4.0005,0,0,0,0,4.0005,4.0005,0,4.0005,0,0,0,4.0005,0,0,0
2,NaN,NaN,0,4.0001,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,315,-0.6955094722265123,0,4.0001,0,0,0,0,4.0001,0,0,4.0001,0,0,0,0,0,4.0001,0,0,0,0
4,NaN,NaN,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0
5,135,-0.08671609823958155,0,0,0,4.0001,0,0,0,0,0,4.0001,0,0,0,0,0,4.0001,0,0,0,0
6,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,135,0.8205298485235197,16,24,16,28,36,8.0001,8.0001,8.0001,4.0001,8.0001,4.0001,12,16,12,8.0001,0,4.0001,8.0001,4.0001,4.0001
8,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,315,1.6254153521544081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NaN,NaN,0,4.0001,12,0,4.0001,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0
11,135,-0.4013189010928366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0
12,NaN,NaN,0,0,0,0,0,0,0,0,4.0001,0,0,0,4.0001,0,0,4.0001,0,0,0,0
13,315,1.8997110945711444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NaN,NaN,4.0001,8.0002,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0
15,135,1.6254153521544081,52.001,32.001,28.001,28.001,36.001,16,16,24.001,16,12,16,20.001,20.001,8.0002,12,20.001,12,4.0001,16,16
16,NaN,NaN,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,315,-0.08671609823958155,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0
18,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0
19,135,1.1256764103823331,28,36,32,16,16,16,20,8.0001,4,16,8.0001,24,4,4,12,4,8.0001,4,0,4
20,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0
21,135,1.4348242962684938,36.001,40.001,20,28.001,20,20,8.0002,12,20,12,20,0,16,16,4.0001,16,12,4.0001,12,12
22,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0
23,315,0.5236164190543707,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
24,NaN,NaN,0,0,0,0,0,0,0,8.0001,4.0001,4.0001,0,0,0,0,0,0,0,4.0001,0,0
25,315,1.3044905277734875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,20.001,0
26,NaN,NaN,0,8.0002,0,4.0001,12,8.0002,0,0,4.0001,4.0001,8.0002,0,4.0001,0,4.0001,0,12,20,4.0001,0
27,135,0.5236164190543707,4.0001,0,0,4.0001,4.0001,0,20,0,4.0001,0,0,0,0,8.0002,0,0,4.0001,4.0001,4.0001,4.0001
28,NaN,NaN,0,8.0002,0,0,0,0,0,4.0001,0,4.0001,0,8.0002,0,0,4.0001,4.0001,4.0001,0,0,0
29,315,1.7729301728808387,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0
30,NaN,NaN,4.0001,12,4.0001,0,0,4.0001,0,4.0001,0,8.0003,4.0001,0,4.0001,0,0,0,0,0,0,0
31,135,1.7729301728808387,35.999,43.999,31.999,19.999,23.999,19.999,7.9997,15.999,12,12,23.999,0,19.999,12,3.9999,19.999,7.9997,3.9999,15.999,12
32,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,315,-0.4013189010928366,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0
34,NaN,NaN,12,8.0001,8.0001,20,4.0001,4.0001,12,20,12,16,8.0001,12,20,12,16,20,8.0001,4.0001,4.0001,0
35,315,1.4348242962684938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NaN,NaN,0,4.0001,8.0002,0,0,0,0,0,0,0,4.0001,0,4.0001,0,0,0,4.0001,0,0,0
37,315,0.8205298485235197,0,0,0,0,0,4.0001,0,0,8.0001,0,0,0,4.0001,4.0001,0,0,4.0001,4.0001,0,4.0001
