bird,trk,site,cell,pd.sum,species,test.dir1,dir1.area,test.dir2,dir2.area,pref.speed,sp80.1,sp80.2,sp80.3,sp80.4,sp80.5,sp80.6,sp80.7,sp80.8,sp80.9,sp80.10,sp80.11,sp80.12,tune50,tune55,tune60,tune65,tune70,tune75,tune80,tune85,tune90,tune95
194,1,3007,1,11.07767069,2,0,25.08451421,180,4.784141425,47.99,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,4,3,3,1,1,1,1
194,1,3007,2,343.3023762,2,0,41.414853,180,8.478228051,79.86,0,0,0,0,0,0,0,0,1,1,1,1,6,5,5,4,4,4,4,4,3,2
194,1,3062,1,298.1192929,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,1,3062,2,357.9896941,2,0,46.91254923,180,1.601028146,64.02,0,0,0,0,0,0,0,0,1,0,1,0,6,6,4,3,3,3,2,2,2,2
194,1,3062,3,287.0974136,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,3,3459,3,187.9865274,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,5,3516,1,116.901086,2,135,20.9021502,315,0.189960717,47.99,0,0,0,0,0,0,0,0,0,1,1,0,5,5,5,3,3,2,2,2,2,2
194,5,3516,2,176.299598,2,135,20.16883248,315,-17.42789077,4.03,0,0,0,0,1,0,0,0,0,1,0,1,6,5,4,4,4,3,3,2,2,2
194,5,3516,3,191.8806125,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,5,3516,4,154.8983914,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,3,2990,1,320.2842406,2,315,-12.91734593,135,-34.44285928,1.98,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
198,3,2990,2,339.5117592,2,315,30.44594564,135,-0.881013075,64.02,0,0,0,0,0,0,0,0,0,0,1,1,4,4,3,3,3,3,2,2,1,1
