time,stim,spike
0,0,0
0.001,0,0.00348
0.002,0,0.00513
0.003,0,0.0033
0.004,0,0.00153
0.005,0,0.00116
0.006,0,0.00232
0.007,0,0.00342
0.008,0,2.4e-4
0.009,0,8.2e-4
0.01,0,7.3e-4
0.011,0,-9.8e-4
0.012,0,0.0018600000000000001
0.013,0,0.00104
0.014,0,0.00409
0.015,0,6e-5
0.016,0,0.00397
0.017,0,0.0051
0.018,0,0.00375
0.019,0,0.00632
0.02,0,-8.5e-4
0.021,0,0.00479
0.022,0,0.00433
0.023,0,0.00351
0.024,0,0.00201
0.025,0,0.00592
0.026,0,-5.5e-4
0.027,0,-2.4e-4
0.028,0,0.00375
0.029,0,0.00156
0.03,0,-3e-5
0.031,0,7.6e-4
0.032,0,0.00449
0.033,0,0.00363
0.034,0,0.00247
0.035,0,7.6e-4
0.036,0,0.00409
0.037,0,-1.2e-4
0.038,0,0.00482
0.039,0,0.00238
0.04,0,0.0033
0.041,0,0.004
0.042,0,0.00262
0.043,0,0.00394
0.044,0,0.00146
0.045,0,0.00342
0.046,0,-4.6e-4
0.047,0,0.00684
0.048,0,0.00641
0.049,0,-0.00104
0.05,0,0.00122
0.051,0,-0.0018
0.052,0,-0.00293
0.053,0,0.0054
0.054,0,0.00613
0.055,0,0.00232
0.056,0,0.00259
0.057,0,0.0047
0.058,0,0.0014
0.059,0,0.00424
0.06,0,0.00635
0.061,0,6.7e-4
0.062,0,0.00433
0.063,0,0.00156
0.064,0,0.00552
0.065,0,0.0058
0.066,0,7.9e-4
0.067,0,0.00101
0.068,0,0.00485
0.069,0,0.0051
0.07,0,0.00555
0.071,0,2.7e-4
0.072,0,0.00143
0.073,0,0.00128
0.074,0,-4e-4
0.075,0,0.00217
0.076,0,-6e-5
0.077,0,0.00244
0.078,0,0.00183
0.079,0,-1.8e-4
0.08,0,8.5e-4
0.081,0,0.00479
0.082,0,0.00299
0.083,0,7e-4
0.084,0,0.00626
0.085,0,-0.00229
0.086,0,0.00275
0.087,0,0.00677
0.088,0,-0.0011
0.089,0,0.0014
0.09,0,0.0018600000000000001
